Date;Open;High;Low;Close;Adj Close;Volume;
10/09/2018;2.942.000;2.948.000;2.930.000;2.937.000;2.937.000;0;
11/09/2018;2.953.000;2.981.000;2.948.000;2.977.000;2.977.000;0;
12/09/2018;2.966.000;2.968.000;2.955.000;2.963.000;2.963.000;0;
13/09/2018;2.981.000;2.983.000;2.944.000;2.963.000;2.963.000;0;
14/09/2018;2.989.000;3.003.000;2.981.000;2.994.000;2.994.000;0;
17/09/2018;3.020.000;3.020.000;2.989.000;3.001.000;3.001.000;0;
18/09/2018;3.007.000;3.048.000;3.005.000;3.048.000;3.048.000;0;
19/09/2018;3.044.000;3.092.000;3.044.000;3.083.000;3.083.000;0;
20/09/2018;3.092.000;3.096.000;3.059.000;3.078.000;3.078.000;0;
21/09/2018;3.068.000;3.083.000;3.061.000;3.068.000;3.068.000;0;
24/09/2018;3.076.000;3.091.000;3.065.000;3.078.000;3.078.000;0;
25/09/2018;3.098.000;3.110.000;3.093.000;3.102.000;3.102.000;0;
26/09/2018;3.085.000;3.091.000;3.061.000;3.061.000;3.061.000;0;
27/09/2018;3.056.000;3.074.000;3.054.000;3.056.000;3.056.000;0;
28/09/2018;3.031.000;3.058.000;3.030.000;3.056.000;3.056.000;0;
1/10/2018;3.086.000;3.086.000;3.063.000;3.080.000;3.080.000;0;
2/10/2018;3.069.000;3.074.000;3.046.000;3.056.000;3.056.000;0;
3/10/2018;3.086.000;3.179.000;3.080.000;3.161.000;3.161.000;0;
4/10/2018;3.200.000;3.210.000;3.176.000;3.197.000;3.197.000;0;
5/10/2018;3.204.000;3.248.000;3.189.000;3.225.000;3.225.000;0;
8/10/2018;3.233.000;3.233.000;3.233.000;3.233.000;3.233.000;0;
9/10/2018;3.239.000;3.239.000;3.203.000;3.208.000;3.208.000;0;
10/10/2018;3.227.000;3.242.000;3.212.000;3.225.000;3.225.000;0;
11/10/2018;3.189.000;3.191.000;3.127.000;3.133.000;3.133.000;0;
12/10/2018;3.167.000;3.173.000;3.131.000;3.141.000;3.141.000;0;
15/10/2018;3.161.000;3.165.000;3.143.000;3.163.000;3.163.000;0;
16/10/2018;3.173.000;3.177.000;3.154.000;3.156.000;3.156.000;0;
17/10/2018;3.158.000;3.179.000;3.146.000;3.179.000;3.179.000;0;
18/10/2018;3.207.000;3.215.000;3.160.000;3.175.000;3.175.000;0;
19/10/2018;3.194.000;3.209.000;3.181.000;3.198.000;3.198.000;0;
22/10/2018;3.190.000;3.198.000;3.179.000;3.196.000;3.196.000;0;
23/10/2018;3.149.000;3.166.000;3.111.000;3.166.000;3.166.000;0;
24/10/2018;3.145.000;3.147.000;3.117.000;3.124.000;3.124.000;0;
25/10/2018;3.143.000;3.145.000;3.117.000;3.136.000;3.136.000;0;
26/10/2018;3.089.000;3.102.000;3.059.000;3.077.000;3.077.000;0;
29/10/2018;3.094.000;3.117.000;3.085.000;3.087.000;3.087.000;0;
30/10/2018;3.117.000;3.123.000;3.094.000;3.110.000;3.110.000;0;
31/10/2018;3.149.000;3.161.000;3.134.000;3.159.000;3.159.000;0;
1/11/2018;3.164.000;3.174.000;3.136.000;3.144.000;3.144.000;0;
2/11/2018;3.155.000;3.216.000;3.155.000;3.214.000;3.214.000;0;
5/11/2018;3.203.000;3.205.000;3.186.000;3.201.000;3.201.000;0;
6/11/2018;3.193.000;3.224.000;3.191.000;3.214.000;3.214.000;0;
7/11/2018;3.200.000;3.215.000;3.184.000;3.213.000;3.213.000;0;
8/11/2018;3.219.000;3.239.000;3.206.000;3.234.000;3.234.000;0;
9/11/2018;3.213.000;3.230.000;3.180.000;3.189.000;3.189.000;0;
12/11/2018;3.186.000;3.186.000;3.186.000;3.186.000;3.186.000;0;
13/11/2018;3.167.000;3.169.000;3.143.000;3.145.000;3.145.000;0;
14/11/2018;3.147.000;3.165.000;3.094.000;3.120.000;3.120.000;0;
15/11/2018;3.101.000;3.129.000;3.081.000;3.118.000;3.118.000;0;
16/11/2018;3.101.000;3.103.000;3.068.000;3.074.000;3.074.000;0;
19/11/2018;3.085.000;3.096.000;3.052.000;3.057.000;3.057.000;0;
20/11/2018;3.041.000;3.061.000;3.036.000;3.048.000;3.048.000;0;
21/11/2018;3.077.000;3.085.000;3.061.000;3.061.000;3.061.000;0;
23/11/2018;null;null;null;3.061.000;3.061.000;null;
26/11/2018;3.063.000;3.079.000;3.057.000;3.072.000;3.072.000;0;
27/11/2018;3.057.000;3.074.000;3.044.000;3.055.000;3.055.000;0;
28/11/2018;3.066.000;3.075.000;3.043.000;3.044.000;3.044.000;0;
29/11/2018;3.013.000;3.044.000;3.008.000;3.035.000;3.035.000;0;
30/11/2018;3.015.000;3.022.000;3.008.000;3.013.000;3.013.000;0;
3/12/2018;3.041.000;3.041.000;2.986.000;2.992.000;2.992.000;0;
4/12/2018;2.966.000;2.970.000;2.885.000;2.924.000;2.924.000;0;
6/12/2018;2.888.000;2.899.000;2.826.000;2.876.000;2.876.000;0;
7/12/2018;2.895.000;2.910.000;2.850.000;2.850.000;2.850.000;0;
10/12/2018;2.861.000;2.868.000;2.825.000;2.856.000;2.856.000;0;
11/12/2018;2.877.000;2.883.000;2.847.000;2.879.000;2.879.000;0;
12/12/2018;2.893.000;2.917.000;2.890.000;2.906.000;2.906.000;0;
13/12/2018;2.910.000;2.919.000;2.893.000;2.911.000;2.911.000;0;
14/12/2018;2.886.000;2.900.000;2.877.000;2.891.000;2.891.000;0;
17/12/2018;2.884.000;2.889.000;2.855.000;2.857.000;2.857.000;0;
18/12/2018;2.832.000;2.853.000;2.819.000;2.825.000;2.825.000;0;
19/12/2018;2.817.000;2.861.000;2.776.000;2.778.000;2.778.000;0;
20/12/2018;2.765.000;2.790.000;2.749.000;2.789.000;2.789.000;0;
21/12/2018;2.790.000;2.803.000;2.781.000;2.792.000;2.792.000;0;
24/12/2018;null;null;null;2.792.000;2.781.000;null;
26/12/2018;2.751.000;2.797.000;2.736.000;2.797.000;2.797.000;0;
27/12/2018;2.768.000;2.768.000;2.733.000;2.743.000;2.743.000;0;
28/12/2018;2.761.000;2.768.000;2.727.000;2.736.000;2.736.000;0;
31/12/2018;2.732.000;2.745.000;2.679.000;2.686.000;2.686.000;0;
2/01/2019;2.652.000;2.679.000;2.649.000;2.661.000;2.661.000;0;
3/01/2019;2.654.000;2.656.000;2.554.000;2.554.000;2.554.000;0;
4/01/2019;2.599.000;2.673.000;2.597.000;2.659.000;2.659.000;0;
7/01/2019;2.634.000;2.687.000;2.632.000;2.682.000;2.682.000;0;
8/01/2019;2.701.000;2.717.000;2.696.000;2.716.000;2.716.000;0;
9/01/2019;2.748.000;2.748.000;2.712.000;2.728.000;2.728.000;0;
10/01/2019;2.706.000;2.733.000;2.696.000;2.731.000;2.731.000;0;
11/01/2019;2.710.000;2.713.000;2.681.000;2.701.000;2.701.000;0;
14/01/2019;2.672.000;2.710.000;2.672.000;2.710.000;2.710.000;0;
15/01/2019;2.699.000;2.722.000;2.679.000;2.711.000;2.711.000;0;
16/01/2019;2.734.000;2.743.000;2.717.000;2.731.000;2.731.000;0;
17/01/2019;2.711.000;2.761.000;2.707.000;2.749.000;2.749.000;0;
18/01/2019;2.764.000;2.799.000;2.754.000;2.784.000;2.784.000;0;
22/01/2019;2.755.000;2.759.000;2.727.000;2.730.000;2.730.000;0;
23/01/2019;2.773.000;2.779.000;2.737.000;2.755.000;2.755.000;0;
24/01/2019;2.714.000;2.726.000;2.701.000;2.712.000;2.712.000;0;
25/01/2019;2.741.000;2.759.000;2.732.000;2.753.000;2.753.000;0;
28/01/2019;2.762.000;2.762.000;2.728.000;2.744.000;2.744.000;0;
29/01/2019;2.739.000;2.748.000;2.708.000;2.712.000;2.712.000;0;
30/01/2019;2.729.000;2.735.000;2.688.000;2.695.000;2.695.000;0;
